cycle,input_q15,output_q15,accumulator_q34
4.600000000000000000e+01,-9.614000000000000000e+03,-6.000000000000000000e+00,-3.333162000000000000e+06
4.700000000000000000e+01,-2.311000000000000000e+04,-1.000000000000000000e+00,-7.026670000000000000e+05
4.800000000000000000e+01,-2.220800000000000000e+04,4.000000000000000000e+00,2.088168000000000000e+06
4.900000000000000000e+01,-1.855000000000000000e+03,7.000000000000000000e+00,3.636729000000000000e+06
5.000000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.098508000000000000e+06
5.100000000000000000e+01,1.855000000000000000e+03,1.000000000000000000e+00,5.460260000000000000e+05
5.200000000000000000e+01,2.220800000000000000e+04,-5.000000000000000000e+00,-2.864086000000000000e+06
5.300000000000000000e+01,2.311000000000000000e+04,-1.000000000000000000e+01,-5.347906000000000000e+06
5.400000000000000000e+01,9.614000000000000000e+03,-1.000000000000000000e+01,-5.467511000000000000e+06
5.500000000000000000e+01,1.408800000000000000e+04,-5.000000000000000000e+00,-2.694615000000000000e+06
5.600000000000000000e+01,8.776000000000000000e+03,4.000000000000000000e+00,2.221773000000000000e+06
5.700000000000000000e+01,-1.441600000000000000e+04,1.400000000000000000e+01,7.262417000000000000e+06
5.800000000000000000e+01,-1.617600000000000000e+04,1.900000000000000000e+01,1.002903600000000000e+07
5.900000000000000000e+01,-1.137800000000000000e+04,1.700000000000000000e+01,8.850072000000000000e+06
6.000000000000000000e+01,-2.351400000000000000e+04,7.000000000000000000e+00,3.548252000000000000e+06
6.100000000000000000e+01,-1.784800000000000000e+04,-8.000000000000000000e+00,-4.293714000000000000e+06
6.200000000000000000e+01,3.157000000000000000e+03,-2.200000000000000000e+01,-1.162380500000000000e+07
6.300000000000000000e+01,3.354000000000000000e+03,-2.900000000000000000e+01,-1.520698300000000000e+07
6.400000000000000000e+01,6.542000000000000000e+03,-2.500000000000000000e+01,-1.304448900000000000e+07
6.500000000000000000e+01,2.532600000000000000e+04,-1.000000000000000000e+01,-5.284617000000000000e+06
6.600000000000000000e+01,2.135000000000000000e+04,1.100000000000000000e+01,5.573371000000000000e+06
6.700000000000000000e+01,7.022000000000000000e+03,2.900000000000000000e+01,1.536250300000000000e+07
6.800000000000000000e+01,1.118400000000000000e+04,3.800000000000000000e+01,1.992520800000000000e+07
6.900000000000000000e+01,2.758000000000000000e+03,3.200000000000000000e+01,1.697222000000000000e+07
7.000000000000000000e+01,-1.934700000000000000e+04,1.300000000000000000e+01,6.998130000000000000e+06
7.100000000000000000e+01,-1.727500000000000000e+04,-1.200000000000000000e+01,-6.542249000000000000e+06
7.200000000000000000e+01,-1.221000000000000000e+04,-3.500000000000000000e+01,-1.835368600000000000e+07
7.300000000000000000e+01,-2.257200000000000000e+04,-4.500000000000000000e+01,-2.351412500000000000e+07
7.400000000000000000e+01,-1.248700000000000000e+04,-3.700000000000000000e+01,-1.957381000000000000e+07
7.500000000000000000e+01,8.192000000000000000e+03,-1.400000000000000000e+01,-7.540743000000000000e+06
7.600000000000000000e+01,6.456000000000000000e+03,1.500000000000000000e+01,8.076993000000000000e+06
7.700000000000000000e+01,1.062800000000000000e+04,4.000000000000000000e+01,2.096534100000000000e+07
7.800000000000000000e+01,2.703400000000000000e+04,4.900000000000000000e+01,2.572822700000000000e+07
7.900000000000000000e+01,1.830400000000000000e+04,3.800000000000000000e+01,2.004304900000000000e+07
8.000000000000000000e+01,3.765000000000000000e+03,1.100000000000000000e+01,5.820246000000000000e+06
8.100000000000000000e+01,7.686000000000000000e+03,-2.100000000000000000e+01,-1.125171000000000000e+07
8.200000000000000000e+01,-3.291000000000000000e+03,-4.600000000000000000e+01,-2.398315400000000000e+07
8.300000000000000000e+01,-2.327600000000000000e+04,-5.100000000000000000e+01,-2.681794100000000000e+07
8.400000000000000000e+01,-1.727500000000000000e+04,-3.500000000000000000e+01,-1.813405100000000000e+07
8.500000000000000000e+01,-1.207100000000000000e+04,-2.000000000000000000e+00,-1.169967000000000000e+06
8.600000000000000000e+01,-2.037500000000000000e+04,3.200000000000000000e+01,1.692744000000000000e+07
8.700000000000000000e+01,-6.424000000000000000e+03,5.400000000000000000e+01,2.820029800000000000e+07
8.800000000000000000e+01,1.293600000000000000e+04,5.200000000000000000e+01,2.735011100000000000e+07
8.900000000000000000e+01,9.069000000000000000e+03,2.700000000000000000e+01,1.407283000000000000e+07
9.000000000000000000e+01,1.388300000000000000e+04,-1.200000000000000000e+01,-6.481469000000000000e+06
9.100000000000000000e+01,2.724700000000000000e+04,-4.800000000000000000e+01,-2.540650600000000000e+07
9.200000000000000000e+01,1.412200000000000000e+04,-6.500000000000000000e+01,-3.405011300000000000e+07
9.300000000000000000e+01,5.900000000000000000e+01,-5.300000000000000000e+01,-2.783415000000000000e+07
9.400000000000000000e+01,3.848000000000000000e+03,-1.600000000000000000e+01,-8.359090000000000000e+06
9.500000000000000000e+01,-9.025000000000000000e+03,3.200000000000000000e+01,1.664424100000000000e+07
9.600000000000000000e+01,-2.596500000000000000e+04,6.900000000000000000e+01,3.630288600000000000e+07
9.700000000000000000e+01,-1.613400000000000000e+04,7.900000000000000000e+01,4.135037300000000000e+07
9.800000000000000000e+01,-1.099200000000000000e+04,5.400000000000000000e+01,2.832647200000000000e+07
9.900000000000000000e+01,-1.708800000000000000e+04,3.000000000000000000e+00,1.445786000000000000e+06
1.000000000000000000e+02,0.000000000000000000e+00,-5.500000000000000000e+01,-2.859646900000000000e+07
1.010000000000000000e+02,1.708800000000000000e+04,-9.300000000000000000e+01,-4.870182400000000000e+07
1.020000000000000000e+02,1.099200000000000000e+04,-9.400000000000000000e+01,-4.922180900000000000e+07
1.030000000000000000e+02,1.613400000000000000e+04,-5.400000000000000000e+01,-2.834674500000000000e+07
1.040000000000000000e+02,2.596500000000000000e+04,1.300000000000000000e+01,6.614906000000000000e+06
1.050000000000000000e+02,9.025000000000000000e+03,7.900000000000000000e+01,4.159387800000000000e+07
1.060000000000000000e+02,-3.848000000000000000e+03,1.170000000000000000e+02,6.135352900000000000e+07
1.070000000000000000e+02,-5.900000000000000000e+01,1.070000000000000000e+02,5.627138100000000000e+07
1.080000000000000000e+02,-1.412200000000000000e+04,5.100000000000000000e+01,2.676656200000000000e+07
1.090000000000000000e+02,-2.724700000000000000e+04,-3.100000000000000000e+01,-1.625275200000000000e+07
1.100000000000000000e+02,-1.388300000000000000e+04,-1.050000000000000000e+02,-5.520313800000000000e+07
1.110000000000000000e+02,-9.069000000000000000e+03,-1.390000000000000000e+02,-7.304404400000000000e+07
1.120000000000000000e+02,-1.293600000000000000e+04,-1.160000000000000000e+02,-6.085975900000000000e+07
1.130000000000000000e+02,6.424000000000000000e+03,-4.200000000000000000e+01,-2.204368800000000000e+07
1.140000000000000000e+02,2.037500000000000000e+04,5.400000000000000000e+01,2.839002600000000000e+07
1.150000000000000000e+02,1.207100000000000000e+04,1.320000000000000000e+02,6.940491400000000000e+07
1.160000000000000000e+02,1.727500000000000000e+04,1.580000000000000000e+02,8.281338700000000000e+07
1.170000000000000000e+02,2.327600000000000000e+04,1.170000000000000000e+02,6.139868000000000000e+07
1.180000000000000000e+02,3.291000000000000000e+03,2.400000000000000000e+01,1.251284600000000000e+07
1.190000000000000000e+02,-7.686000000000000000e+03,-8.400000000000000000e+01,-4.421900000000000000e+07
1.200000000000000000e+02,-3.765000000000000000e+03,-1.610000000000000000e+02,-8.455830600000000000e+07
1.210000000000000000e+02,-1.830400000000000000e+04,-1.720000000000000000e+02,-9.012429200000000000e+07
1.220000000000000000e+02,-2.703400000000000000e+04,-1.080000000000000000e+02,-5.672786600000000000e+07
1.230000000000000000e+02,-1.062800000000000000e+04,6.000000000000000000e+00,3.164599000000000000e+06
1.240000000000000000e+02,-6.456000000000000000e+03,1.240000000000000000e+02,6.476702600000000000e+07
1.250000000000000000e+02,-8.192000000000000000e+03,1.930000000000000000e+02,1.010636610000000000e+08
1.260000000000000000e+02,1.248700000000000000e+04,1.810000000000000000e+02,9.470083000000000000e+07
1.270000000000000000e+02,2.257200000000000000e+04,8.800000000000000000e+01,4.609315400000000000e+07
1.280000000000000000e+02,1.221000000000000000e+04,-4.900000000000000000e+01,-2.580330800000000000e+07
1.290000000000000000e+02,1.727500000000000000e+04,-1.730000000000000000e+02,-9.055624800000000000e+07
1.300000000000000000e+02,1.934700000000000000e+04,-2.270000000000000000e+02,-1.189554950000000000e+08
1.310000000000000000e+02,-2.758000000000000000e+03,-1.830000000000000000e+02,-9.614440300000000000e+07
1.320000000000000000e+02,-1.118400000000000000e+04,-5.500000000000000000e+01,-2.896915100000000000e+07
1.330000000000000000e+02,-7.022000000000000000e+03,1.060000000000000000e+02,5.570077600000000000e+07
1.340000000000000000e+02,-2.135000000000000000e+04,2.320000000000000000e+02,1.214039130000000000e+08
1.350000000000000000e+02,-2.532600000000000000e+04,2.620000000000000000e+02,1.375530700000000000e+08
1.360000000000000000e+02,-6.542000000000000000e+03,1.780000000000000000e+02,9.355425400000000000e+07
1.370000000000000000e+02,-3.354000000000000000e+03,9.000000000000000000e+00,4.711850000000000000e+06
1.380000000000000000e+02,-3.157000000000000000e+03,-1.770000000000000000e+02,-9.284660500000000000e+07
1.390000000000000000e+02,1.784800000000000000e+04,-2.980000000000000000e+02,-1.563969770000000000e+08
1.400000000000000000e+02,2.351400000000000000e+04,-2.960000000000000000e+02,-1.551996000000000000e+08
1.410000000000000000e+02,1.137800000000000000e+04,-1.620000000000000000e+02,-8.510288600000000000e+07
1.420000000000000000e+02,1.617600000000000000e+04,5.300000000000000000e+01,2.799136400000000000e+07
1.430000000000000000e+02,1.441600000000000000e+04,2.620000000000000000e+02,1.373003320000000000e+08
1.440000000000000000e+02,-8.776000000000000000e+03,3.700000000000000000e+02,1.940670560000000000e+08
1.450000000000000000e+02,-1.408800000000000000e+04,3.230000000000000000e+02,1.691824960000000000e+08
1.460000000000000000e+02,-9.614000000000000000e+03,1.290000000000000000e+02,6.761998100000000000e+07
1.470000000000000000e+02,-2.311000000000000000e+04,-1.360000000000000000e+02,-7.156192500000000000e+07
1.480000000000000000e+02,-2.220800000000000000e+04,-3.620000000000000000e+02,-1.896675790000000000e+08
1.490000000000000000e+02,-1.855000000000000000e+03,-4.440000000000000000e+02,-2.325974220000000000e+08
1.500000000000000000e+02,0.000000000000000000e+00,-3.350000000000000000e+02,-1.755470340000000000e+08
1.510000000000000000e+02,1.855000000000000000e+03,-6.900000000000000000e+01,-3.615213100000000000e+07
1.520000000000000000e+02,2.220800000000000000e+04,2.480000000000000000e+02,1.302009800000000000e+08
1.530000000000000000e+02,2.311000000000000000e+04,4.800000000000000000e+02,2.515433460000000000e+08
1.540000000000000000e+02,9.614000000000000000e+03,5.150000000000000000e+02,2.698913860000000000e+08
1.550000000000000000e+02,1.408800000000000000e+04,3.220000000000000000e+02,1.685905140000000000e+08
1.560000000000000000e+02,8.776000000000000000e+03,-3.200000000000000000e+01,-1.697649200000000000e+07
