cycle,input_q15,output_q15,accumulator_q34
5.600000000000000000e+01,0.000000000000000000e+00,-4.000000000000000000e+00,-2.015232000000000000e+06
5.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.932160000000000000e+05
5.800000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,2.850816000000000000e+06
5.900000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.300800000000000000e+06
6.000000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.005888000000000000e+06
6.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,1.941504000000000000e+06
6.200000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-1.130496000000000000e+06
6.300000000000000000e+01,0.000000000000000000e+00,-8.000000000000000000e+00,-4.005888000000000000e+06
6.400000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01,-5.382144000000000000e+06
6.500000000000000000e+01,0.000000000000000000e+00,-9.000000000000000000e+00,-4.546560000000000000e+06
6.600000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00,-1.646592000000000000e+06
6.700000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,2.211840000000000000e+06
6.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,5.455872000000000000e+06
6.900000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,6.586368000000000000e+06
7.000000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,4.939776000000000000e+06
7.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.007616000000000000e+06
7.200000000000000000e+01,0.000000000000000000e+00,-7.000000000000000000e+00,-3.710976000000000000e+06
7.300000000000000000e+01,0.000000000000000000e+00,-1.400000000000000000e+01,-7.176192000000000000e+06
7.400000000000000000e+01,0.000000000000000000e+00,-1.500000000000000000e+01,-7.815168000000000000e+06
7.500000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01,-5.087232000000000000e+06
7.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.372800000000000000e+04
7.700000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,5.627904000000000000e+06
7.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,9.142272000000000000e+06
7.900000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,8.970240000000000000e+06
8.000000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,4.841472000000000000e+06
8.100000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00,-1.720320000000000000e+06
8.200000000000000000e+01,0.000000000000000000e+00,-1.500000000000000000e+01,-8.011776000000000000e+06
8.300000000000000000e+01,0.000000000000000000e+00,-2.200000000000000000e+01,-1.130496000000000000e+07
8.400000000000000000e+01,0.000000000000000000e+00,-1.900000000000000000e+01,-9.904128000000000000e+06
8.500000000000000000e+01,0.000000000000000000e+00,-8.000000000000000000e+00,-4.079616000000000000e+06
8.600000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.981312000000000000e+06
8.700000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,1.088716800000000000e+07
8.800000000000000000e+01,0.000000000000000000e+00,2.600000000000000000e+01,1.354137600000000000e+07
8.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,1.049395200000000000e+07
9.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,2.629632000000000000e+06
9.100000000000000000e+01,0.000000000000000000e+00,-1.300000000000000000e+01,-6.955008000000000000e+06
9.200000000000000000e+01,0.000000000000000000e+00,-2.700000000000000000e+01,-1.420492800000000000e+07
9.300000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+01,-1.572864000000000000e+07
9.400000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+01,-1.051852800000000000e+07
9.500000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-3.194880000000000000e+05
9.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,1.071513600000000000e+07
9.700000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,1.784217600000000000e+07
9.800000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,1.767014400000000000e+07
9.900000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,9.732096000000000000e+06
1.000000000000000000e+02,0.000000000000000000e+00,-6.000000000000000000e+00,-2.973696000000000000e+06
1.010000000000000000e+02,0.000000000000000000e+00,-2.900000000000000000e+01,-1.526169600000000000e+07
1.020000000000000000e+02,0.000000000000000000e+00,-4.100000000000000000e+01,-2.172518400000000000e+07
1.030000000000000000e+02,0.000000000000000000e+00,-3.600000000000000000e+01,-1.909555200000000000e+07
1.040000000000000000e+02,0.000000000000000000e+00,-1.500000000000000000e+01,-7.962624000000000000e+06
1.050000000000000000e+02,0.000000000000000000e+00,1.400000000000000000e+01,7.421952000000000000e+06
